Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"Apartment 1, Kingston House, Barna Road, Kingston, Co. Galway, H91RK46",350000,3,2,Apartment,74,C2,53.260404,-9.120607,4911,kingston-galway,Galway,"Three bed ground floor apartment, Popular location on main Barna Road, Small development of 4 apartments, Ample parking - Bike & Bin storage to rear, Management Fee circa &#x20AC;1855 pa, Feature wooden flooring - Master bedroom en suite, Electric storage heaters & double glazing, Close to Barna Woods, Cappagh Park & Rusheen Bay, Easy access to Galway City, UCHG & University of Galway, Moments from Tesco , Aldi and Knocknacarra Retail Park",2008
"2 Costello Road, H91HP6W",AMV: 235000,2,1,Terrace,66,G,53.275526,-9.069846,7292,shantalla-galway,Galway,"Built c. mid 1940's, Solid fuel central heating, Front and rear gardens, On street parking, Close to University and hospital., Vacant prior to Covid 19 pandemic lockdown., Should qualify for Vacant Property Refurbishment Grant.",1950
"148 Clochrn, Kilcloghans, Tuam, Co. Galway, H54D762",315000,4,3,Semi-D,113,C1,53.529453,-8.857084,5912,tuam-galway,Galway,"Delighfuly Presented, Fully Upgraded, Beautifully Designed Back Garden, Premium Kitchen, Spacious Interior, Wonderful Location, Adjacent to Motorway Connection, 30 Minutes from Galway City, Turnkey Condition ",2005
"Edenmore House, Ballybofey, Co. Donegal, F93EE61",1950000,5,3,Detached,533,SI_666,54.798954,-7.746113,31688,ballybofey-donegal,Donegal,"36.33 Ha (90 Acres) approximately., Borders the River Finn., Extensive road frontage., Separate access to the lands with extensive road frontage for easy access., Fishing rights., Potential to renovate the rear three storey return., Potential to let the land., Long, sweeping driveway with lush grounds and mature trees., Enclosed front lawn with mature hedging and bushes., Full-size, enclosed tarmac tennis court.",NA
"18 Saint Endas Avenue, Tuam, Tuam, Co. Galway, H54WR65",150000,3,1,Semi-D,80,E1,53.509712,-8.856419,3942,tuam-galway,Galway,"Qualifies for Substantial Grants of up to 70,000 Euro, Centrally Located, Great value Home, Just a Short Stroll to Tuam Town Centre, 30 Minutes to Galway City, 2 Minutes to the Motorway, High Speed Broadband Available , Excellent Potential ",1950
"10 Inis Alainn, Fiddown, Co. Kilkenny, E32WD30",240000,3,3,Detached,94,C2,52.332553,-7.316668,6077,fiddown-kilkenny,Kilkenny,"Oil fired central heating, Two garden sheds, Solar panels, Immaculate condition, Small private estate",2007
"73 Woodfield, Cappagh Road, Knocknacarra, Co. Galway, H91WDN0",380000,4,2,End of Terrace,115,D1,53.261484,-9.12626,2472,knocknacarra-galway,Galway,"4 bed end of terrace over 3 storeys, No management fees, OFCH & double glazed windows, Ample off street parking to front, Communal rear garden with access to shed, Overlooks a large green area to front, Close to several schools, restaurants & retail parks, Excellent bus service to & from Galway City, Easy access to Galway City, Salthill & Barna, Minutes from Barna Woods, Cappagh Pk & Rusheen Bay",1995
"70 The Green, College Road, Galway City Centre, H91XTY4",450000,4,3,Semi-D,115,C1,53.278115,-9.040864,6927,N/A,N/A,"Exceptionally Well Located , Spacious Accommodation , Move-In Ready, Owner Occupied , Never Rented",1990
"Montpelier, 64 Orwell Park, Rathgar, Dublin 6, D06X4E6",3750000,6,3,Detached,352,E2,53.307039,-6.267568,11802,rathgar-dublin,Dublin,,1860
"Stonebridge Farmhouse, Ahacross, Kildorrery, Co. Cork, P67R963",410000,4,3,Detached,229,B2,52.257955,-8.385395,34620,kildorrery-cork,Cork,"Large site with tarmacadam driveway, Turn-key property, B2 Energy Rating/Solar panells, Pressurized water system, OFCH, Electric gates, Block Built Shed, 5 minute commute from Kildorrery village, 10 minute commute from Mitchelstown and the M8 motorway., 35 minute commute to the Jack Lynch Tunnell",2007
"Crooke, Passage East, Co. Waterford, X91XR92",1100000,4,4,Detached,249,C2,52.223393,-6.976926,18949,passage-east-waterford,Waterford,"Stunning 4/5 bedroom detached coastal residence on a cica 20-acres site., Unparalleled panoramic views of the Suit Estuary., Architect designed by Niall Harrington., Boasting c. 2.676 sq.ft. of living space., Nestles on the outskirts of Passage East with Woodstown Beach is just 1km awa.",NA
